experiment,model,test_set,accuracy,macro_P,macro_R,macro_F1,weighted_P,weighted_R,weighted_F1
aug-mixup,efficientnet_b0,PlantDoc_Test,0.17,0.18,0.17,0.14,0.18,0.17,0.14
aug-mixup,maxvit_base_tf_224,PV_Test,0.99,0.98,0.98,0.98,0.99,0.99,0.99
aug-mixup,maxvit_base_tf_224,PlantDoc_Test,0.28,0.32,0.28,0.26,0.34,0.28,0.27
aug-mixup,mobilenet_v3_small,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
aug-mixup,mobilenet_v3_small,PlantDoc_Test,0.20,0.17,0.19,0.14,0.17,0.20,0.15
aug-mixup,swin_base_patch4_window7_224,PV_Test,1.00,1.00,1.00,1.00,1.00,1.00,1.00
aug-mixup,swin_base_patch4_window7_224,PlantDoc_Test,0.33,0.33,0.33,0.28,0.34,0.33,0.29
aug-mixup,vit_base_patch16_224,PV_Test,0.97,0.97,0.96,0.96,0.97,0.97,0.97
aug-mixup,vit_base_patch16_224,PlantDoc_Test,0.26,0.34,0.26,0.23,0.34,0.26,0.23
aug-rotate-gaussian,cct_14_7x2_224,PV_Test,0.99,0.99,0.98,0.99,0.99,0.99,0.99
aug-rotate-gaussian,cct_14_7x2_224,PlantDoc_Test,0.37,0.40,0.37,0.33,0.42,0.37,0.33
aug-rotate-gaussian,efficientnet_b0,PV_Test,pending,pending,pending,pending,pending,pending,pending
aug-rotate-gaussian,efficientnet_b0,PlantDoc_Test,pending,pending,pending,pending,pending,pending,pending
aug-rotate-gaussian,maxvit_base_tf_224,PV_Test,0.99,0.98,0.99,0.98,0.99,0.99,0.99
aug-rotate-gaussian,maxvit_base_tf_224,PlantDoc_Test,0.29,0.26,0.29,0.25,0.26,0.29,0.26
aug-rotate-gaussian,mobilenet_v3_small,PV_Test,0.99,0.98,0.98,0.98,0.99,0.99,0.99
aug-rotate-gaussian,mobilenet_v3_small,PlantDoc_Test,0.16,0.14,0.14,0.10,0.15,0.16,0.11
aug-rotate-gaussian,swin_base_patch4_window7_224,PV_Test,1.00,1.00,1.00,1.00,1.00,1.00,1.00
aug-rotate-gaussian,swin_base_patch4_window7_224,PlantDoc_Test,0.29,0.29,0.28,0.23,0.32,0.29,0.25
aug-rotate-gaussian,vit_base_patch16_224,PV_Test,0.98,0.98,0.98,0.98,0.98,0.98,0.98
aug-rotate-gaussian,vit_base_patch16_224,PlantDoc_Test,0.26,0.29,0.25,0.22,0.30,0.26,0.22
aug-rotate-only,cct_14_7x2_224,PV_Test,0.99,0.99,0.98,0.98,0.99,0.99,0.99
aug-rotate-only,cct_14_7x2_224,PlantDoc_Test,0.39,0.41,0.39,0.34,0.43,0.39,0.35
aug-rotate-only,efficientnet_b0,PV_Test,pending,pending,pending,pending,pending,pending,pending
aug-rotate-only,efficientnet_b0,PlantDoc_Test,pending,pending,pending,pending,pending,pending,pending
aug-rotate-only,maxvit_base_tf_224,PV_Test,0.99,0.98,0.98,0.98,0.99,0.99,0.99
aug-rotate-only,maxvit_base_tf_224,PlantDoc_Test,0.31,0.34,0.29,0.27,0.34,0.31,0.28
aug-rotate-only,mobilenet_v3_small,PV_Test,0.98,0.98,0.98,0.98,0.99,0.98,0.98
aug-rotate-only,mobilenet_v3_small,PlantDoc_Test,0.11,0.09,0.12,0.08,0.10,0.11,0.09
aug-rotate-only,swin_base_patch4_window7_224,PV_Test,1.00,1.00,1.00,1.00,1.00,1.00,1.00
aug-rotate-only,swin_base_patch4_window7_224,PlantDoc_Test,0.34,0.39,0.32,0.29,0.41,0.34,0.30
aug-rotate-only,vit_base_patch16_224,PV_Test,0.98,0.98,0.97,0.97,0.98,0.98,0.98
aug-rotate-only,vit_base_patch16_224,PlantDoc_Test,0.27,0.37,0.28,0.27,0.38,0.27,0.27
aug_erasing,cct_14_7x2_224,PV_Test,0.99,0.98,0.98,0.98,0.99,0.99,0.99
aug_erasing,cct_14_7x2_224,PlantDoc_Test,0.39,0.40,0.38,0.35,0.41,0.39,0.36
aug_erasing,cct_14_7x2_224_epoch15,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
aug_erasing,cct_14_7x2_224_epoch15,PlantDoc_Test,0.34,0.35,0.33,0.29,0.37,0.34,0.30
aug_erasing,efficientnet_b0,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
aug_erasing,efficientnet_b0,PlantDoc_Test,0.23,0.26,0.22,0.20,0.28,0.23,0.21
aug_erasing,maxvit_base_tf_224,PV_Test,0.99,0.98,0.99,0.98,0.99,0.99,0.99
aug_erasing,maxvit_base_tf_224,PlantDoc_Test,0.34,0.34,0.34,0.29,0.34,0.34,0.30
aug_erasing,maxvit_base_tf_224_epoch15,PV_Test,0.99,0.98,0.99,0.98,0.99,0.99,0.99
aug_erasing,maxvit_base_tf_224_epoch15,PlantDoc_Test,0.34,0.34,0.34,0.29,0.34,0.34,0.30
aug_erasing,mobilenet_v3_small,PV_Test,0.98,0.97,0.97,0.97,0.98,0.98,0.98
aug_erasing,mobilenet_v3_small,PlantDoc_Test,0.21,0.26,0.21,0.17,0.28,0.21,0.18
aug_erasing,swin_base_patch4_window7_224,PV_Test,0.97,0.97,0.95,0.96,0.97,0.97,0.97
aug_erasing,swin_base_patch4_window7_224,PlantDoc_Test,0.15,0.18,0.15,0.12,0.20,0.15,0.12
aug_erasing,swin_base_patch4_window7_224_adamw,PV_Test,1.00,1.00,1.00,1.00,1.00,1.00,1.00
aug_erasing,swin_base_patch4_window7_224_adamw,PlantDoc_Test,0.33,0.39,0.33,0.30,0.40,0.33,0.30
aug_erasing,vit_base_patch16_224,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
aug_erasing,vit_base_patch16_224,PlantDoc_Test,0.28,0.33,0.29,0.25,0.34,0.28,0.24
aug_erasing,vit_base_patch16_224_adamw,PV_Test,1.00,1.00,1.00,1.00,1.00,1.00,1.00
aug_erasing,vit_base_patch16_224_adamw,PlantDoc_Test,0.41,0.49,0.39,0.37,0.51,0.41,0.39
affine,cct_14_7x2_224,PV_Test,0.94,0.94,0.93,0.93,0.95,0.94,0.94
affine,cct_14_7x2_224,PlantDoc_Test,0.29,0.22,0.28,0.21,0.22,0.29,0.21
affine,efficientnet_b0,PV_Test,0.99,0.98,0.99,0.98,0.99,0.99,0.99
affine,efficientnet_b0,PlantDoc_Test,0.21,0.25,0.20,0.17,0.27,0.21,0.19
affine,maxvit_base_tf_224,PV_Test,0.98,0.98,0.97,0.97,0.98,0.98,0.98
affine,maxvit_base_tf_224,PlantDoc_Test,0.33,0.31,0.33,0.28,0.31,0.33,0.29
affine,mobilenet_v3_small,PV_Test,0.98,0.97,0.97,0.97,0.98,0.98,0.98
affine,mobilenet_v3_small,PlantDoc_Test,0.21,0.19,0.20,0.17,0.21,0.21,0.18
affine,swin_base_patch4_window7_224,PV_Test,0.95,0.94,0.93,0.94,0.95,0.95,0.94
affine,swin_base_patch4_window7_224,PlantDoc_Test,0.37,0.35,0.36,0.37,0.37,0.37,0.34
affine,vit_base_patch16_224,PV_Test,0.98,0.97,0.96,0.96,0.98,0.98,0.98
affine,vit_base_patch16_224,PlantDoc_Test,0.36,0.41,0.35,0.31,0.44,0.36,0.33
baseline,cct_14_7x2_224,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
baseline,cct_14_7x2_224,PlantDoc_Test,0.32,0.38,0.31,0.28,0.39,0.32,0.29
baseline,efficientnet_b0,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
baseline,efficientnet_b0,PlantDoc_Test,0.21,0.26,0.20,0.18,0.29,0.21,0.20
baseline,maxvit_base_tf_224,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
baseline,maxvit_base_tf_224,PlantDoc_Test,0.33,0.33,0.32,0.29,0.33,0.33,0.30
baseline,mobilenet_v3_small,PV_Test,0.99,0.99,0.98,0.98,0.99,0.99,0.99
baseline,mobilenet_v3_small,PlantDoc_Test,0.20,0.18,0.19,0.15,0.19,0.20,0.17
baseline,swin_base_patch4_window7_224,PV_Test,1.00,1.00,1.00,1.00,1.00,1.00,1.00
baseline,swin_base_patch4_window7_224,PlantDoc_Test,0.34,0.31,0.31,0.26,0.34,0.34,0.29
baseline,vit_base_patch16_224,PV_Test,0.98,0.98,0.98,0.98,0.98,0.98,0.98
baseline,vit_base_patch16_224,PlantDoc_Test,0.29,0.40,0.30,0.27,0.40,0.29,0.27
multi_task_vit,vit_base_patch16_224,PV_Test,0.98,0.98,0.97,0.97,0.98,0.98,0.98
multi_task_vit,vit_base_patch16_224,PlantDoc_Test,0.23,0.34,0.23,0.21,0.35,0.23,0.21
supcon,vit_base_patch16_224,PV_Test,0.98,0.97,0.97,0.97,0.98,0.98,0.98
supcon,vit_base_patch16_224,PlantDoc_Test,0.38,0.42,0.38,0.35,0.42,0.38,0.35
aug-perspective,cct_14_7x2_224,PV_Test,0.9900,0.9888,0.9891,0.9888,0.9902,0.9900,0.9900
aug-perspective,cct_14_7x2_224,PlantDoc_Test,0.3242,0.3321,0.3182,0.2845,0.3397,0.3242,0.2915
aug-perspective,maxvit_base_tf_224,PV_Test,0.9870,0.9810,0.9845,0.9826,0.9872,0.9870,0.9870
aug-perspective,maxvit_base_tf_224,PlantDoc_Test,0.3288,0.2882,0.3129,0.2834,0.2962,0.3288,0.2944
aug-perspective,mobilenet_v3_small,PV_Test,0.9814,0.9749,0.9760,0.9748,0.9821,0.9814,0.9814
aug-perspective,mobilenet_v3_small,PlantDoc_Test,0.2283,0.2136,0.2230,0.1789,0.2258,0.2283,0.1885
aug-perspective,swin_base_patch4_window7_224,PV_Test,0.9800,0.9765,0.9730,0.9744,0.9799,0.9800,0.9798
aug-perspective,swin_base_patch4_window7_224,PlantDoc_Test,0.4840,0.5312,0.4823,0.4516,0.5479,0.4840,0.4599
aug-perspective,vit_base_patch16_224,PV_Test,0.9798,0.9744,0.9736,0.9722,0.9815,0.9798,0.9796
aug-perspective,vit_base_patch16_224,PlantDoc_Test,0.3379,0.3775,0.3567,0.3036,0.3924,0.3379,0.3026
aug-perspective,efficientnet_b0,PV_Test,0.9958,0.9956,0.9930,0.9943,0.9959,0.9958,0.9958
aug-perspective,efficientnet_b0,PlantDoc_Test,0.2740,0.2949,0.2735,0.2404,0.2889,0.2740,0.2425
